Número;Nome;ViaVerde;EMail;Telemovel;NIF;NCC;NISS;DataNascimento
463;Carla Mota Mateus Carreira Carneiro;10476-182;carlacmmcc@gmail.com;911829034;348004943;77900362;58299433637;1992-11-14
464;Ricardo Carmona Amorim Moreno Dinis Leão;5559-139;ricardorcamdl@sal.ipg.pt;913746600;314610245;45809827;76489537133;1985-03-26
465;Catarina Farias Barbosa Caiado;15757-141;catarinacfbc@sal.ipg.pt;948069416;406463568;71746849;85901931940;1941-09-28
466;Dolores Estrela Coelho Peres;14734-582;doloresdecp@sapo.pt;934731880;112399051;69528599;28628342661;1972-01-28
467;Cristiana Azenha Seixas Ramalho Brito Moreno;14634-241;cristianacasrbm@sal.ipg.pt;956051870;459596520;23277245;70376508937;1972-12-30
468;Carla Andrade Mora Barros Tinoco Macedo Quadros;8528-392;carlacambtmq@sal.ipg.pt;923851781;476712202;56481016;48027682989;1985-06-02
469;Duarte Paredes Lobato Farias Aguiar Cabral;14370-428;duartedplfac@gmail.com;913412067;311664246;28652845;75324512338;1943-06-24
470;Lucas Sequeira Valbom Carmona Azevedo Carrico Moura;4240-68;lucaslsvcacm@sal.ipg.pt;912571782;362433614;69976046;37293290519;1982-12-28
471;Claudio Mora Santos Ramalho;8982-480;claudiocmsr@hotmail.com;945189450;196182349;30059740;28891660412;1991-08-18
472;Marisa Martins Azeredo Bogas Almeida Pacheco;1709-425;marisammabap@hotmail.com;939787516;148409606;26542387;63976129483;1981-04-16
473;Celino Queiros Proenca Dinis Domingos Pires Ferreira;3412-139;celinocqpddpf@sapo.pt;923199802;306218592;40249646;68462625512;1947-01-13
474;Celino Carrasco Antunes Belchior Soeiro;9510-319;celinoccabs@sal.ipg.pt;968518532;468117961;95257841;94742062080;1941-02-15
475;Celso Ramalho Carvalheira Leal;3091-171;celsocrcl@hotmail.com;968377399;290348019;53995247;32757176715;1956-09-02
476;Francisco Ramalho Queiros Macedo;11220-481;franciscofrqm@sal.ipg.pt;940095879;206444112;89800210;79353133482;1977-10-22
477;Catarina Nunes Belchior Macedo;7018-370;catarinacnbm@hotmail.com;941445945;275317427;48228273;81300337466;1940-04-28
478;Ana Amorim Bacelar Rosado Lobato Tinoco Carrico;10159-955;anaaabrltc@sapo.pt;945582182;437029657;80557143;37208420056;1942-06-16
479;Maria Soeiro Queiros Castro Martins;7226-30;mariamsqcm@sapo.pt;924543460;275307607;60548080;24944225614;1982-06-06
480;Catarina Amorim Caneco Cunha;19501-912;catarinacacc@hotmail.com;920989424;360864019;50002474;64089395629;1950-09-27
481;Silvia Lobato Rocha Valbom;15915-782;silviaslrv@gmail.com;966771213;178902201;65130445;81542938082;1944-09-28
482;David Ferro Castro Moreno Carreira Ramalho Ramalho;15783-529;daviddfcmcrr@hotmail.com;968380757;280303169;82146750;38343707555;1992-06-06
483;Dulcineia Amado Ramalho Caiado;1551-365;dulcineiadarc@sapo.pt;944261847;206148753;82615543;55719828771;1999-12-11
484;Cristina Amora Domingos Ramalho Mourão;14264-661;cristinacadrm@gmail.com;931841101;172801234;80775129;59650352931;1985-09-30
485;Leonor Peres Almeida Fonseca Soeiro;11273-778;leonorlpafs@gmail.com;953641291;129782680;74070568;85175156806;1991-07-27
486;Joana Farias Tinoco Rocha Azenha Carreira;8742-891;joanajftrac@gmail.com;914868664;456368629;84336685;64635033831;1947-09-06
487;Dolores Ramalho Moreno Clementino Carmona Castanheira Soeiro;5313-905;doloresdrmcccs@sapo.pt;943656443;410739177;55474587;88701080681;1982-09-12
488;Celina Seixas Belchior Santos;4092-442;celinacsbs@hotmail.com;918228244;453943897;42761746;32079950074;1961-11-22
489;Eduarda Fonseca Carrasco Regueira;11537-697;eduardaefcr@gmail.com;922604189;265759654;52956150;17203647723;1990-01-27
490;Cristiano Mota Rocha Belchior;9245-545;cristianocmrb@gmail.com;924975556;147904342;55199881;73488695523;1952-02-11
491;Cristiano Azevedo Cipriano Andrade Dias Amorim Andrade;2448-271;cristianocacadaa@sapo.pt;937640239;105799082;65448341;49592733953;1988-12-18
492;Maria Ferreira Macedo Matos Cabral;1739-199;mariamfmmc@hotmail.com;969563068;463341370;22748682;62183913976;1977-08-24
493;Catarina Leão Pinto Belchior Moreira;2636-961;catarinaclpbm@hotmail.com;949519141;264628247;90730496;16589126079;1949-01-15
494;Dora Cardoso Aguiar Seixas Azevedo Seixas Santos;16356-942;doradcasass@sal.ipg.pt;962132031;142993694;67444631;56402829428;1989-08-16
495;Francisca Rocha Moura Rocha Farias Carmona Pinto;6246-807;franciscafrmrfcp@sal.ipg.pt;953466632;169161032;31145242;33445945868;1971-08-09
496;Rodolfo Arouca Arantes Carvalheira Dias Bacelar;8859-633;rodolforaacdb@sapo.pt;911858206;497868949;35494614;60998252065;1963-07-08
497;Vitor Queiros Ferraz Almada Clementino;9528-383;vitorvqfac@sapo.pt;935939737;205163865;29067686;85267025667;1997-09-26
498;Pedro Nogueira Barbosa Macedo;17605-486;pedropnbm@sal.ipg.pt;932270994;110667307;81636874;76630899037;1973-08-09
499;Celino Amorim Calado Rego Rego Mateus Nogueira;15970-752;celinocacrrmn@hotmail.com;958225883;461263400;30074824;41004095360;1953-01-08
500;Bernardo Valbom Antunes Soeiro Nunes Andrade Carrasco;7821-86;bernardobvasnac@sal.ipg.pt;918509682;350047887;84428813;77783739709;1997-02-05
501;Dora Silva Pinheiro Pinheiro Amado;11191-390;doradsppa@hotmail.com;966067432;179759920;51218190;26035857093;1943-11-18
502;Celino Fonseca Bacelar Bogas;8541-104;celinocfbb@hotmail.com;923184018;291556783;83308281;17555004675;1948-06-20
503;Basilio Carmona Coelho Calheiros;10746-865;basiliobccc@sal.ipg.pt;919212523;422229911;42885162;63397110305;1981-08-22
504;Bruno Brito Soeiro Antunes;4104-953;brunobbsa@sapo.pt;926205671;468104766;69214473;52975349604;1986-11-04
505;Pedro Calado Moura Leal Domingos Almada Eanes;19000-702;pedropcmldae@gmail.com;926716338;112004277;43006765;30248124196;1949-04-05
506;Cristina Lobato Baptista Antunes Cardoso;9821-740;cristinaclbac@hotmail.com;963372808;480400022;28151799;69292704553;1944-07-12
507;Dulce Lopes Macedo Carvalheira;2664-76;dulcedlmc@sal.ipg.pt;941818331;446839750;83166207;99935294474;1987-04-15
508;Ricardo Baptista Seixas Ferraz Mora Cunha;19385-943;ricardorbsfmc@hotmail.com;921351217;174331388;31555597;89721836791;1943-07-04
509;Camilo Sequeira Bacelar Dias Proenca;1471-71;camilocsbdp@sapo.pt;963894432;485761151;24989898;18761198132;1943-07-10
510;Rodolfo Pinheiro Cabral Almeida Soeiro;10844-148;rodolforpcas@sapo.pt;920700279;295010496;60042867;53939249953;1964-05-24
511;Rodolfo Arouca Azevedo Calado Tinoco Clementino Coelho;12397-461;rodolforaactcc@sapo.pt;955877354;104196095;66351775;95762128228;1962-02-15
512;Dora Eanes Proenca Mateus Nascimento;12040-174;doradepmn@hotmail.com;941662813;250164257;52293590;46212792711;1943-12-13
513;Catarina Lopes Peres Carreira;14308-801;catarinaclpc@gmail.com;911410819;341653188;38457560;64842366752;1992-03-15
514;Paula Nunes Dinis Moreira Carrasco;16740-972;paulapndmc@sapo.pt;932001224;321977578;29043804;18153744193;1966-11-05
515;Camilo Castanheira Pires Mora Santos Caiado Leal;9627-618;camiloccpmscl@hotmail.com;941011998;328957979;91922788;86003973143;1988-05-05
516;Clarice Mateus Lobato Ferraz Antunes Rocha Azevedo;12931-710;claricecmlfara@hotmail.com;955529364;294722041;42770454;72506396639;1942-03-23
517;Leonor Andrade Calado Paredes Lopes;1999-162;leonorlacpl@sapo.pt;964461460;428959601;50677387;93962164211;1959-11-29
518;Dulce Peres Bogas Arouca Peres Real Mendes;14538-898;dulcedpbaprm@hotmail.com;948915015;200781364;61493067;95342395010;1944-04-23
519;Eduardo Andrade Eanes Eanes;12556-432;eduardoeaee@sapo.pt;949978981;428155997;46622112;16988660277;1993-09-10
520;Joana Leal Rego Valbom Azeredo Valbom;1825-655;joanajlrvav@sal.ipg.pt;963157586;369864946;72380944;76362944676;1999-07-03
521;Cristiano Rocha Rosado Almeida Rosado Mota Proenca;3309-844;cristianocrrarmp@hotmail.com;951617158;491744920;56884673;52687540637;1994-09-18
522;Cristiano Cardoso Carmona Nunes;13277-755;cristianocccn@sapo.pt;960017128;280133795;69813411;19133059179;1976-01-28
523;Carmo Soeiro Azeredo Moura Calheiros Rego;14374-870;carmocsamcr@gmail.com;932709290;405180013;85894870;23690433221;1986-09-01
524;Celina Leal Moreno Almada Proenca;9003-699;celinaclmap@sal.ipg.pt;934180572;200940481;38798579;88986778019;1987-06-21
525;Cristiano Almada Castanheira Matos Pacheco Carrico;14475-50;cristianocacmpc@sapo.pt;941254743;389848201;64137146;89830380052;1981-09-03
526;Paula Carrasco Pacheco Leal Arantes Ramalho Amora;19280-961;paulapcplara@hotmail.com;952031347;368611313;91884980;44508680248;1947-12-27
527;Paulo Calado Mota Castro Azenha Amado Lobato;16552-904;paulopcmcaal@sal.ipg.pt;944673464;251799533;54484865;15661299659;1966-10-25
528;Claudio Lopes Andrade Moura Clementino Martins;16771-739;claudioclamcm@gmail.com;931609028;195436399;63397187;32334356942;1984-11-09
529;Valdemar Matos Almeida Pires Peres Azenha;4495-729;valdemarvmappa@hotmail.com;926440746;428737794;47475985;24444361450;1947-01-19
530;Odete Seixas Leal Lobato Baptista;8133-174;odeteosllb@sal.ipg.pt;932576276;405687555;58507464;33949163499;1973-12-14
531;Celina Ramalho Lobato Azeredo;6717-308;celinacrla@gmail.com;917834603;442881691;75345946;46936200335;1970-01-28
532;Cristiana Pinheiro Moreno Barros Moreno Rego;8629-177;cristianacpmbmr@sal.ipg.pt;967386062;229306942;24356060;50379472313;1965-04-17
533;Vitor Moreno Pires Bacelar;8960-542;vitorvmpb@gmail.com;922479900;352395325;34421200;29985213093;1942-04-12
534;Joana Cipriano Rocha Aguiar Amora Azevedo Dinis;3454-461;joanajcraaad@sal.ipg.pt;959428049;386119942;51609401;83684301717;1942-09-11
535;Dora Eanes Arantes Baptista Aguiar Pacheco Eanes;19786-95;doradeabape@sal.ipg.pt;916468123;291790518;44355851;13642339118;1959-06-28
536;Rodolfo Matos Santos Arantes Arouca Leal;12145-657;rodolformsaal@sal.ipg.pt;912237529;294743533;30616632;99840406093;1996-12-16
537;Claudio Caneco Mateus Castro Vivas Rego Brito;14413-999;claudioccmcvrb@gmail.com;935340006;127095181;46121753;88584329567;1978-11-03
538;Dulce Brito Aguiar Nunes Rocha Estrela;8898-347;dulcedbanre@gmail.com;921951578;205333333;54892164;18867290950;1970-06-25
539;David Pacheco Cipriano Pinheiro Rego;18044-514;daviddpcpr@hotmail.com;969625423;286664680;79941639;79786491336;1945-01-09
540;Eduardo Farias Fonseca Rego Proenca Ferreira Silva;2287-715;eduardoeffrpfs@hotmail.com;931884400;434916688;52645358;29515180733;1952-12-13
541;Francisco Azeredo Nascimento Queiros;17514-886;franciscofanq@hotmail.com;926752436;207603210;91872984;24464941434;1981-02-20
542;Dina Cabral Mendes Valbom Eanes;3192-617;dinadcmve@hotmail.com;937524181;229755535;57013967;89919768187;1956-11-12
543;Dolores Silva Carreira Azevedo;7759-365;doloresdsca@sapo.pt;954921855;176581968;82180319;91828271398;1968-07-15
544;Cristina Ferro Cardoso Lobato Amora Bacelar;3336-88;cristinacfclab@hotmail.com;923661934;321796314;81596900;62237036363;1988-01-11
545;Marisa Clementino Almeida Quadros;5302-595;marisamcaq@sal.ipg.pt;965304841;360778822;36773482;86418412411;1988-03-02
546;Claudio Arouca Silva Soeiro;18976-723;claudiocass@gmail.com;948121745;462593988;39441350;54824226607;1962-07-28
547;Silvia Carneiro Martins Lopes Martins Arantes Clementino;16643-927;silviascmlmac@sal.ipg.pt;951587454;309174595;98621284;86172251237;1973-01-20
548;Catarina Arouca Domingos Cabral;4180-325;catarinacadc@gmail.com;946541487;488808712;91704251;28321732282;1958-07-23
549;Eduarda Quadros Silva Amorim Amado Azevedo;17870-925;eduardaeqsaaa@gmail.com;966290181;237237017;28910455;19631137396;1999-06-25
550;Alzinda Ferro Brito Antunes;13010-11;alzindaafba@hotmail.com;949132819;487065079;92126852;76552455403;1964-01-26
551;Paula Pacheco Tinoco Carmona Almada;17244-188;paulapptca@hotmail.com;923805364;323373280;88470430;31699155914;1962-02-06
552;Dina Rosado Lopes Soeiro Lobato Nunes Brito;18568-208;dinadrlslnb@sapo.pt;958737264;145328049;73265539;87746589759;1952-06-22
553;Rita Paredes Moura Ferreira Pinheiro;13841-839;ritarpmfp@hotmail.com;951851307;127862394;29520958;12809691458;1992-10-13
554;Eduardo Rosado Regueira Carneiro Amora Fonseca Nogueira;5307-332;eduardoerrcafn@sal.ipg.pt;947493001;415637857;41075526;56946966523;1956-12-05
555;Marisa Carmona Quadros Macedo Caneco Coelho;16432-713;marisamcqmcc@sapo.pt;954636514;338801906;92849052;57406497794;1968-12-08
556;Clotilde Brito Soeiro Andrade;3629-543;clotildecbsa@hotmail.com;938181975;257678151;82439367;84994947854;1971-03-10
557;Marisa Brito Aguiar Brito Ferreira Arantes Coelho;13995-709;marisambabfac@hotmail.com;923894983;196332391;36204300;65468389902;1953-10-16
558;Francisco Coelho Silva Arantes Barros;15565-576;franciscofcsab@sapo.pt;937474331;395456344;58387119;28495190384;1957-02-11
559;Carina Calheiros Rocha Ramalho Mota Cunha;19009-319;carinaccrrmc@gmail.com;957879117;192148962;41536603;34430173326;1949-08-20
560;Rodolfo Domingos Andrade Pires Pinto;5206-930;rodolfordapp@hotmail.com;952999104;269745701;77438402;86001496648;1996-09-26
561;Cristiano Tinoco Seixas Brito Carrasco Silva;10030-666;cristianoctsbcs@hotmail.com;949422767;368014694;71867269;61496724265;1989-05-29
562;Lucas Brito Clementino Amora Brito;12671-476;lucaslbcab@sapo.pt;963727847;397216769;97392485;23253245392;1958-07-21
563;Carina Soeiro Proenca Ferreira Cipriano Azenha Fonseca;9180-396;carinacspfcaf@gmail.com;957644211;384366519;50093073;23050696271;1995-10-04
564;Bruno Nunes Clementino Leão Martins Martins Amora;3785-465;brunobnclmma@gmail.com;969683335;130496292;93007657;39894870916;1960-10-18
565;Rita Aguiar Mateus Dias Pinheiro Antunes;17805-530;ritaramdpa@sal.ipg.pt;921537248;480542518;23048146;17305318358;1977-06-09
566;Ana Lopes Pacheco Almeida;17469-50;anaalpa@sapo.pt;925850201;414125072;34907715;53509535519;1974-10-04
567;Bernardo Rosado Barbosa Lopes Belchior Aguiar Farias;7476-660;bernardobrblbaf@sapo.pt;926027004;370825273;84800693;68767498489;1955-06-11
568;Francisco Baptista Nogueira Estrela Nascimento Moura;6028-753;franciscofbnenm@sal.ipg.pt;924997196;188505998;52168848;32152143632;1969-09-20
569;Clarice Silva Fonseca Lobato Ramalho;13964-862;claricecsflr@hotmail.com;912757090;325207352;38777875;96982062964;1972-08-19
570;Alzinda Leão Azeredo Baptista Rego Valbom;7185-170;alzindaalabrv@sal.ipg.pt;934925443;108853280;96137507;37740859123;1987-03-26
571;Francisca Azeredo Andrade Estrela Santos Leão;11604-168;franciscafaaesl@sal.ipg.pt;953861950;169950639;34080761;37610809423;1973-02-10
572;Ricardo Aguiar Mota Carneiro Sequeira Soeiro;16415-706;ricardoramcss@sapo.pt;924140972;296843204;87281975;95265148358;1951-10-27
573;Paula Moura Mateus Rego;8977-775;paulapmmr@sal.ipg.pt;920109043;141397474;48939400;99891464961;1965-03-10
574;Cristina Antunes Domingos Calado Andrade Cipriano;19350-998;cristinacadcac@sal.ipg.pt;952897298;357892660;93598135;69233533984;1951-05-24
575;Bernardo Antunes Brito Rocha;7974-736;bernardobabr@hotmail.com;962932159;489948734;73763055;34964535808;1968-09-07
576;Rita Ferreira Leal Rego Barbosa Valbom;14337-707;ritarflrbv@sapo.pt;962895176;172764423;61738559;43873226665;1947-06-06
577;Valdemar Carmona Andrade Baptista Santos Ramalho Cipriano;7464-601;valdemarvcabsrc@sapo.pt;964300228;140941311;34688774;35709435798;1940-02-10
578;Bruna Moreira Peres Barbosa Almada Soeiro;16844-46;brunabmpbas@sapo.pt;959788764;479358479;94073088;52090750277;1983-10-25
579;Soraia Santos Andrade Almada;7629-224;soraiassaa@sal.ipg.pt;935818951;491072534;65366506;75665609184;1945-10-20
580;Ricardo Domingos Pacheco Cardoso;18254-9;ricardordpc@gmail.com;939294869;417932546;98858280;61688913892;1952-12-28
581;Marisa Rego Cipriano Clementino Seixas Cabral;6114-963;marisamrccsc@sapo.pt;964944045;277102262;35939863;25189586270;1986-06-22
582;Cristina Carreira Proenca Mourão Real Santos;10884-35;cristinaccpmrs@hotmail.com;915183835;484955890;52984811;67947538233;1974-09-23
583;Dolores Matos Pacheco Almada;11259-490;doloresdmpa@gmail.com;932914879;405916911;57525515;99371132244;1984-08-25
584;Celina Calado Azenha Barbosa Leão Mateus;4980-641;celinaccablm@hotmail.com;941904831;484532962;79674087;99004742663;1996-03-24
585;Ricardo Pinto Quadros Ferreira Lopes Azenha;10057-429;ricardorpqfla@gmail.com;963812572;126462151;52622572;62824184472;1992-06-04
586;Cristina Andrade Quadros Calado Calheiros Cardoso;17854-820;cristinacaqccc@gmail.com;948709871;100190497;76920122;54414742772;1969-05-11
587;Celino Vivas Nascimento Mora;9360-961;celinocvnm@sapo.pt;949206564;493590548;96548511;13970662484;1959-07-10
588;Clotilde Amado Moreno Cabral;11250-592;clotildecamc@hotmail.com;933714015;246346495;89826897;28397974375;1942-01-03
589;Carla Castanheira Tinoco Nunes Carrasco;12762-761;carlacctnc@sapo.pt;967138204;461053498;56716356;36581956606;1994-02-08
590;Eduarda Castanheira Lopes Eanes Moreira;14150-507;eduardaeclem@hotmail.com;929518074;226941913;96208469;84553537153;1954-10-24
591;Paulo Carrasco Eanes Mendes Fonseca Tinoco;12445-64;paulopcemft@sal.ipg.pt;950369558;328756054;28093173;84724298949;1966-10-17
592;Paulo Carrasco Martins Moreira Azeredo Regueira;5635-484;paulopcmmar@hotmail.com;931122942;281320308;79528453;30829042034;1942-08-04
593;Odete Cardoso Mateus Azevedo Cunha;14062-663;odeteocmac@sapo.pt;937882094;382841964;88640674;44499923926;1987-10-17
594;Celina Amorim Amorim Azeredo Mendes Calado Macedo;13839-231;celinacaaamcm@gmail.com;965737212;259716984;81255641;87658979937;1983-01-06
595;Leonor Soeiro Rocha Carneiro Rego;11782-89;leonorlsrcr@sapo.pt;928357603;150209604;62503225;71340913638;1988-12-20
596;Vitor Queiros Cardoso Pinheiro;3696-632;vitorvqcp@gmail.com;915684408;496777000;74841066;76408968954;1953-06-17
597;Camilo Amorim Moura Estrela Real Amorim;9015-793;camilocamera@gmail.com;946736242;138778467;28914223;92468033412;1944-07-01
598;Camilo Amorim Caiado Amorim Nunes Rosado Moreno;4453-328;camilocacanrm@sal.ipg.pt;936694114;224423127;37632326;32656689044;1969-10-01
599;Bruno Calheiros Moreira Mota Pires Brito;19169-206;brunobcmmpb@hotmail.com;968168452;352339302;29532532;65408636350;1988-04-07
600;Odete Coelho Macedo Arouca Soeiro Valbom Macedo;10662-490;odeteocmasvm@sal.ipg.pt;940577736;456479966;45832498;16766577568;1954-09-01
601;Leonor Azeredo Dinis Calheiros Mota Cipriano Mora;1348-929;leonorladcmcm@sapo.pt;942906867;171933907;44802328;96786268616;1967-10-09
602;Dulcineia Eanes Andrade Paredes Rego Andrade Mateus;19266-520;dulcineiadeapram@sal.ipg.pt;957858298;327490018;83095258;73276835179;1952-11-09
603;Celina Domingos Moreira Almada Caiado;15897-180;celinacdmac@hotmail.com;933590856;375988928;83146278;34028386201;1955-12-03
604;Marisa Dinis Macedo Mourão Cunha Bacelar;8632-794;marisamdmmcb@gmail.com;953537143;247358442;84120901;82586487393;1985-02-18
605;Clotilde Moreno Leal Ferreira;18493-688;clotildecmlf@sal.ipg.pt;958943623;155695185;24126351;45845851911;1957-06-13
606;David Carrasco Silva Andrade;1838-164;daviddcsa@hotmail.com;928210291;112816643;33745971;66259022421;1944-05-19
607;Cristiano Barros Real Nogueira;12265-112;cristianocbrn@sapo.pt;933331585;392285561;22736241;60869779644;1992-09-02
608;Dolores Cunha Nascimento Domingos;6226-204;doloresdcnd@hotmail.com;931873490;398042598;94326460;42274069065;1947-12-01
609;Celso Dias Macedo Lopes Almeida Seixas Ferreira;3845-112;celsocdmlasf@gmail.com;968586492;225678982;50056925;19078477475;1961-11-06
610;Duarte Mateus Leal Vivas Carrasco Quadros;15549-389;duartedmlvcq@gmail.com;916288779;298762094;66091890;63951977812;1958-08-31
611;Daniel Brito Cunha Macedo;7868-249;danieldbcm@gmail.com;946610907;203848324;85506274;28703147269;1980-05-10
612;Liliana Bogas Bogas Antunes Belchior Silva;10214-693;lilianalbbabs@sal.ipg.pt;966893914;209431230;97416818;43550743184;1950-09-13
613;Vitor Vivas Calheiros Amado Estrela;2376-51;vitorvvcae@gmail.com;966655218;353803727;78179170;86599861822;1992-04-03
614;Paulo Azeredo Amorim Belchior Estrela;10399-362;paulopaabe@sapo.pt;923429984;477432279;29851444;67982511094;1976-07-26
615;Dulcineia Santos Soeiro Moreno Almada Proenca;8017-16;dulcineiadssmap@hotmail.com;944811700;369749795;45547010;11536219643;1954-08-16
616;Liliana Caiado Castro Rego;13293-602;lilianalccr@sal.ipg.pt;967071917;481993499;77202771;41679114718;1978-04-16
617;Paula Mourão Carmona Estrela;6492-153;paulapmce@gmail.com;937636506;276080600;95403294;42869155101;1947-11-27
618;Eduardo Matos Estrela Mateus Nascimento Matos Lobato;16252-906;eduardoememnml@gmail.com;963295686;168815265;45430892;37246509025;1961-01-12
619;Cristina Ferreira Eanes Leão;4749-903;cristinacfel@gmail.com;921126353;137688955;55028938;88843328310;1942-06-26
620;Cristina Amorim Belchior Mota Almada Paredes Mora;13744-944;cristinacabmapm@sapo.pt;925843170;336040307;50837493;17390146720;1962-08-11
621;Carmo Mourão Nogueira Soeiro Belchior Sequeira Azeredo;8883-582;carmocmnsbsa@hotmail.com;954850012;266495622;66709834;98999326035;1987-10-26
622;Cristiana Nogueira Dias Cipriano Leal Rocha;1346-147;cristianacndclr@hotmail.com;955371657;448416360;71114575;25148630604;1956-10-24
623;Vitor Cabral Coelho Carreira;14862-102;vitorvccc@sapo.pt;930857219;219060252;70085201;11371932051;1948-11-11
624;Luis Amado Real Mendes Moura;7788-615;luislarmm@sapo.pt;956410532;300756118;35571335;12748515148;1961-01-24
625;Bruno Belchior Cardoso Pinto Carneiro Antunes Soeiro;15108-148;brunobbcpcas@sal.ipg.pt;961778022;111075944;45167841;88778075854;1940-07-10
626;Basilio Bacelar Amado Cardoso;14244-986;basiliobbac@hotmail.com;962463982;192499630;39001994;53754645259;1940-10-24
627;Hugo Calado Almeida Dinis;4370-942;hugohcad@sapo.pt;967483313;433402923;46082198;93749654615;1997-04-13
628;Odete Quadros Brito Almeida;3285-957;odeteoqba@gmail.com;930392004;119466847;84769918;50973956334;1960-02-24
629;Odete Pacheco Coelho Clementino Dinis;18067-556;odeteopccd@sapo.pt;931904268;315301877;84375951;12293377416;1956-10-28
630;Claudio Barros Fonseca Mourão Mota Calheiros Pinto;4523-856;claudiocbfmmcp@sal.ipg.pt;962287648;217915839;35500136;72186218270;1949-08-02
631;Ana Carreira Real Amorim Baptista Pinheiro Rosado;7391-496;anaacrabpr@gmail.com;934095440;407670066;85601582;41490032119;1942-09-16
632;Carla Real Cabral Queiros Azenha;15166-705;carlacrcqa@sal.ipg.pt;912032031;262200617;74557759;69277945093;1963-08-27
633;Dolores Queiros Mateus Carreira;15902-245;doloresdqmc@sal.ipg.pt;937258515;386930125;91706267;17791795403;1986-09-19
634;Dulce Peres Coelho Belchior Dinis Castanheira Brito;10095-143;dulcedpcbdcb@hotmail.com;916591500;416289184;96263087;13532955770;1962-08-13
635;Daniel Carrasco Cipriano Tinoco Barros;17132-1;danieldcctb@hotmail.com;938617643;386912878;31714176;78054683433;1947-09-02
636;Claudio Carrasco Andrade Cabral Mora Mota;11762-620;claudioccacmm@sapo.pt;929712802;290994771;56916534;16318156500;1991-08-25
637;Camilo Soeiro Fonseca Amora;11567-579;camilocsfa@hotmail.com;924770802;245624719;64021052;60213808055;1976-02-02
638;Pedro Dinis Pinheiro Belchior Dinis Coelho;4614-925;pedropdpbdc@sal.ipg.pt;925151101;113822610;70057387;66850258032;1967-04-14
639;Cristiano Mendes Moreno Amorim Proenca Ferreira;3537-349;cristianocmmapf@gmail.com;941003273;111183683;48392670;62567462769;1985-01-24
640;Dolores Rosado Soeiro Carreira Arantes Cardoso Farias;2587-357;doloresdrscacf@gmail.com;938502959;392918653;76738982;47925189335;1960-03-22
641;Ricardo Moreira Santos Quadros Barros;19456-558;ricardormsqb@gmail.com;946612075;224424526;79755464;32838166683;1967-06-30
642;Cristina Real Quadros Barros Pinheiro;13802-354;cristinacrqbp@sapo.pt;949593101;122532466;34373050;62261379630;1962-09-22
643;Dora Eanes Valbom Caiado Regueira Andrade;15450-15;doradevcra@gmail.com;966904739;223568524;79619298;11708274248;1945-10-19
644;Rodolfo Estrela Carreira Carrasco Bacelar;8628-116;rodolforeccb@hotmail.com;921814851;378022932;70738549;64547872308;1941-05-24
645;Eduardo Nogueira Lopes Belchior Mota Soeiro;11345-507;eduardoenlbms@hotmail.com;963571034;427694211;95251430;78795275989;1965-11-15
646;Eduardo Rocha Regueira Fonseca Azenha;2215-599;eduardoerrfa@sal.ipg.pt;946865971;300635071;82110114;67809661785;1991-03-09
647;Silvia Carmona Castanheira Estrela;17124-329;silviascce@hotmail.com;956290156;295886952;40647001;68715731858;1991-08-06
648;Daniel Caneco Proenca Seixas;15867-710;danieldcps@sapo.pt;956931222;423396715;22221506;34455983444;1978-03-18
649;Marisa Andrade Quadros Aguiar Real Aguiar Rosado;18101-476;marisamaqarar@sal.ipg.pt;955212172;325782680;27041586;91834571833;1954-09-17
650;Bernardo Calheiros Proenca Paredes Dinis Rocha;18713-597;bernardobcppdr@sal.ipg.pt;913617061;256565699;36855995;56897232395;1975-10-31
651;Rodolfo Pacheco Mota Caiado Nascimento Mora Castro;19144-95;rodolforpmcnmc@hotmail.com;926048063;438935442;89094671;97555164427;1959-06-17
652;Francisco Lopes Vivas Azenha Caiado;4365-482;franciscoflvac@hotmail.com;947536164;129129966;33788838;92158223104;1994-11-16
653;Luis Bogas Andrade Barros;14138-981;luislbab@gmail.com;913495298;465900310;35042996;66779282313;1969-03-19
654;Celso Nascimento Proenca Fonseca Ferro Proenca;8083-303;celsocnpffp@gmail.com;966513229;488062305;82404716;75187260716;1976-05-11
655;Maria Nogueira Cipriano Rego Belchior Cipriano Real;14400-383;mariamncrbcr@sapo.pt;941908251;102411204;64302175;46511152909;1962-11-14
656;Basilio Rego Leão Azenha Dias Macedo Ferro;8424-975;basiliobrladmf@hotmail.com;916006934;154448204;52203670;84538832398;1940-08-12
657;Maria Martins Caiado Coelho Mora;19800-439;mariammccm@gmail.com;918760130;206639284;57200133;15495069370;1973-08-17
658;Liliana Proenca Azevedo Barbosa Azeredo Clementino;7944-151;lilianalpabac@sapo.pt;953976376;282358110;57038641;38572576183;1942-09-24
659;Celina Macedo Andrade Macedo Moura Amorim Ferro;3951-376;celinacmammaf@sal.ipg.pt;942152861;364329981;58496504;46620894078;1953-06-26
660;Marisa Azevedo Ferreira Cabral;12873-129;marisamafc@hotmail.com;912754915;148245728;71748549;89726223247;1983-06-05
661;David Estrela Domingos Moreira Leal Soeiro;14491-727;daviddedmls@sal.ipg.pt;944022080;363449105;75903202;51493176045;1958-04-30
662;Soraia Vivas Leal Rego Regueira Ramalho;16246-593;soraiasvlrrr@sapo.pt;913673247;474762457;22117544;48868043853;1945-01-03
