IDUTENTE;NOME;NUMERODISPOSITIVOELETRONICO
4630321;BRUNA BACELAR LOBATO CASTRO CARNEIRO CARVALHEIRA;11930-715
4631231;ALZINDA PERES REGUEIRA LOPES PINHEIRO VIVAS ALMADA;11441-698
4633571;BÓRIS CARVALHEIRA CIPRIANO AZEREDO CARVALHEIRA PAREDES;6899-7
4633796;VALDEMAR ANTUNES AZENHA LOBATO ALMADA CIPRIANO CARVALHEIRA;14529-185
4636175;EDUARDA ANDRADE CABRAL SOEIRO BARROS;1604-875
4637451;ODETE AROUCA FERREIRA PAREDES CARRICO MACEDO BAPTISTA;8338-213
4643598;CELSO BRITO CAIADO CALHEIROS MOREIRA CARDOSO ANTUNES;13317-473
4644355;CELINA CIPRIANO PINHEIRO ANDRADE CALADO PAREDES;15780-818
4650112;CELINO ESTRELA CARRICO MOREIRA;14191-961
4651683;MARISA CALHEIROS PACHECO CAIADO EANES;15832-24
4652156;LUCAS BELCHIOR BARROS AROUCA BELCHIOR FERRO FERRAZ;18671-888
4657024;DULCE BACELAR TINOCO MENDES;2174-166
4659280;PAULA LOBATO REAL PINHEIRO AMADO;18858-365
4659744;CAMILO FONSECA PINTO REAL BRITO;11749-78
4659906;ALZINDA FERRAZ SEIXAS ROSADO CANECO;13374-415
4661202;CELINO MATEUS ALMADA ALMEIDA NASCIMENTO CARMONA;16622-873
4662213;CARMO MOREIRA QUEIROS SOEIRO LEÃO REGO;17367-745
4662449;PEDRO NOGUEIRA MARTINS CUNHA LEAL;4993-42
4662625;DUARTE NOGUEIRA CIPRIANO FERREIRA REGO MACEDO SEIXAS;1811-260
4663059;DAVID NOGUEIRA CLEMENTINO MATOS CAIADO;13686-628
4666566;BASILIO EANES BELCHIOR SOEIRO CALHEIROS;19741-893
4667100;CRISTIANA LEÃO BELCHIOR AZEVEDO;17553-953
4667375;LUCAS SANTOS REGO AZEREDO;13954-931
4668017;BERNARDO ALMADA LOBATO DINIS AZEREDO MENDES DINIS;16718-145
4668720;DULCINEIA FERRAZ CARMONA CASTRO;6150-814
4670897;CARMO AGUIAR BAPTISTA PAREDES;12150-485
4676149;MARISA SEQUEIRA FARIAS SOEIRO;7509-727
4677926;EDUARDO CABRAL DINIS MATEUS NUNES;3675-761
4678179;CARLOTA AZEREDO CARREIRA SEQUEIRA CANECO FONSECA;9846-707
4678307;JOANA BOGAS CLEMENTINO MATOS CABRAL AMORIM;18739-152
4678724;LEONOR DIAS REAL CARMONA FERRO PINHEIRO ESTRELA;3553-718
4680780;HUGO AZENHA MARTINS CARREIRA;19562-103
4681173;HUGO MATOS MACEDO MARTINS BAPTISTA;3974-378
4681177;CARLOTA MOURA BRITO CARREIRA DOMINGOS;19480-705
4681562;LUIS PAREDES ANDRADE CARREIRA LOBATO BRITO;14891-129
4683932;VITOR COELHO AMORIM CARMONA MATOS SILVA;8197-316
4687229;VITOR FERREIRA SANTOS ALMEIDA TINOCO MORENO;11643-205
4687455;DULCE AZENHA EANES CARREIRA BACELAR;19168-188
4687877;VALDEMAR FERREIRA LEAL ROCHA;13009-94
4693931;FRANCISCO BARROS ANDRADE PAREDES BOGAS MORA SOEIRO;9081-550
4694798;DAVID ALMADA MOTA MOURÃO CUNHA CALADO CASTANHEIRA;11880-450
4694952;DUARTE CARDOSO AROUCA CIPRIANO BARBOSA ARANTES;11279-179
4699461;CELINO SOEIRO PINTO COELHO REGO CARDOSO;19018-520
4700767;CELINO FERRAZ EANES AROUCA AMORIM;11598-222
4706477;EDUARDO CARRASCO CASTRO QUADROS FERRO AZENHA;3859-799
4708698;DUARTE CARRICO AMORA CUNHA SEQUEIRA FARIAS BRITO;11151-734
4712898;RITA BAPTISTA FONSECA MATOS;13788-973
4713129;MARISA MORENO CARMONA PROENCA PINHEIRO PACHECO CARVALHEIRA;16351-791
4714863;CLOTILDE DIAS MARTINS LOBATO FONSECA CAIADO;4773-901
4715413;EDUARDA VALBOM SANTOS ANDRADE AGUIAR;2792-897
4715526;DUARTE QUADROS MATEUS PIRES LEÃO VALBOM MATOS;5208-913
4719465;CATARINA MATOS CLEMENTINO ARANTES;14138-356
4722008;CARINA AMORA VIVAS PAREDES CANECO;16957-119
4722167;DAVID CALHEIROS TINOCO ALMEIDA;7933-41
4722691;MARIA AZEREDO CASTRO FERRAZ AGUIAR PAREDES;18562-572
4723366;PEDRO PIRES BRITO CIPRIANO;19251-574
4723730;BASILIO MATEUS AROUCA CLEMENTINO LEÃO;8612-818
4723885;DULCE ANTUNES MOREIRA CALHEIROS BRITO REGUEIRA;1065-971
4724507;EDUARDO ANDRADE ROSADO TINOCO CARDOSO LEÃO SEIXAS;4589-409
4725347;DAVID NUNES RAMALHO AGUIAR;10311-215
4727854;LUCAS REGUEIRA VALBOM MOURA CAIADO;16209-326
4728323;MARIA LOPES SEIXAS MOTA FERRAZ CARREIRA;5034-375
4729127;DAVID NUNES CABRAL ALMEIDA;13085-301
4729291;ODETE MATEUS PIRES CANECO;3473-238
4730606;FRANCISCA VIVAS MOURA PINHEIRO BARBOSA VIVAS SEQUEIRA;9369-343
4730623;PAULA COELHO ALMEIDA CASTRO;7403-370
4730891;CRISTINA CARDOSO TINOCO PINTO CABRAL SEIXAS MORA;3436-369
4733351;LILIANA CARNEIRO ALMADA CLEMENTINO;9371-844
4734952;BASILIO REAL PACHECO CABRAL DIAS;14799-562
4735300;CELINA MACEDO PIRES CUNHA AMORA CAIADO COELHO;16722-767
4736636;DULCE PAREDES CANECO CASTANHEIRA;18063-37
4738346;LILIANA LOPES CUNHA CALHEIROS DINIS CUNHA;18073-289
4738799;BÓRIS NASCIMENTO BRITO COELHO MOURÃO;18072-825
4738850;CARLOTA LEÃO CAIADO FONSECA REAL ROCHA DOMINGOS;14083-750
4739998;PAULA VALBOM ALMADA AMADO MATOS CAIADO VIVAS;17586-518
4740085;BRUNO SANTOS QUADROS SEQUEIRA AMADO REGUEIRA AMORIM;10870-323
4740258;CRISTIANO AGUIAR CARRASCO BACELAR QUEIROS PINTO ANDRADE;5579-536
4743560;PEDRO MATOS LEÃO SEIXAS AZEREDO;18284-46
4749809;RODOLFO ANDRADE SEIXAS MACEDO PIRES MATEUS ANDRADE;6690-175
4750632;ALZINDA EANES CASTRO LOPES DIAS FARIAS;16640-903
4751790;LUCAS ANDRADE CARVALHEIRA PROENCA;11978-102
4754299;CARLA REGO PINHEIRO AZEREDO AZENHA;9587-149
4758769;HUGO MOURÃO REGO NUNES AMADO CARREIRA;14749-821
4759238;PEDRO SEIXAS CARRICO CARDOSO RAMALHO;14339-704
4761796;CRISTIANO AMORIM MOREIRA CARRASCO ROCHA;1393-433
4763690;FRANCISCA AZEREDO SILVA AROUCA AMORA ANDRADE;3681-659
4765257;DULCINEIA FERRAZ COELHO PAREDES BRITO LOPES PERES;2917-627
4766451;SORAIA MOTA MARTINS MOURA;8195-201
4766570;DUARTE AZENHA FERRAZ QUEIROS MOURÃO DINIS;5815-190
4767201;PEDRO CASTANHEIRA PINTO REAL NUNES;17150-884
4767378;CELINO SOEIRO SOEIRO CASTANHEIRA PACHECO REGO;12634-833
4768401;CARLOTA AMADO CASTRO CARNEIRO;2850-504
4769433;EDUARDA BOGAS BARROS QUADROS ANDRADE;13340-86
4769807;CRISTIANO SOEIRO PINTO VIVAS;13304-341
4770727;CAMILO FERRO SEQUEIRA CARNEIRO BELCHIOR;5436-150
4772078;DOLORES BOGAS REGUEIRA CARRICO CAIADO LOPES SEQUEIRA;19437-827
4772402;DORA BARBOSA CARVALHEIRA SILVA CASTRO AMORIM;3596-966
4772508;CARLOTA MOREIRA REGO AZENHA VIVAS;13627-575
4773842;RODOLFO CARVALHEIRA CARRICO CAIADO CABRAL PERES CARVALHEIRA;16635-936
4775238;CARINA CARNEIRO ROSADO VALBOM;8832-181
4782679;CRISTINA DOMINGOS MOURA DINIS PINTO;15247-52
4784852;DANIEL BACELAR LEAL ANTUNES;6158-644
4787623;DORA ESTRELA MORA MOTA;5928-460
4787645;JOANA CARVALHEIRA FERREIRA MATEUS MENDES BARBOSA SEQUEIRA;8194-139
4788749;FRANCISCA PROENCA CARNEIRO AMORA MACEDO MENDES AZEREDO;4256-176
4789053;FRANCISCO AZEVEDO BOGAS CASTANHEIRA DIAS REAL ANDRADE;15047-980
4789588;RICARDO REGO RAMALHO PIRES;1304-843
4792135;PAULO PERES MORENO AGUIAR ROCHA REGO;9772-417
4792589;CELSO CARRICO CARMONA CALADO AZEREDO;2295-683
4792608;RODOLFO RAMALHO EANES BRITO CARMONA LEAL;4456-530
4792785;RITA MOURÃO ARANTES CAIADO MATEUS;18359-530
4793500;MARISA MOTA LEAL BELCHIOR PERES ALMADA LEAL;12701-484
4793945;CARLA PROENCA MORENO CABRAL AMORA BRITO CARRICO;8128-789
4795781;PAULA PROENCA FERREIRA REAL;19300-688
4796706;BERNARDO FONSECA CARNEIRO MOURÃO REGO BAPTISTA;2099-351
4799034;HUGO MENDES RAMALHO EANES PACHECO;3270-737
4800273;CARINA RAMALHO REGUEIRA ANDRADE NUNES LOPES FARIAS;10136-644
4801150;SORAIA RAMALHO FARIAS AZEREDO CABRAL;8758-977
4804353;ALZINDA CARRASCO MOURA SEIXAS DINIS NASCIMENTO;19629-130
4804804;SILVIA LOBATO COELHO MORA AMADO CANECO MOTA;15254-575
4806911;DANIEL CALADO NOGUEIRA CANECO;11571-854
4807232;CRISTIANA NUNES EANES LOPES COELHO MOREIRA;3783-724
4808502;CARLA PACHECO NASCIMENTO AMORIM;12747-760
4809520;MARIA CARDOSO TINOCO EANES;15670-486
4809927;BASILIO FERRAZ MENDES FARIAS BAPTISTA ROSADO CASTANHEIRA;18437-313
4810261;BRUNO CARVALHEIRA SEIXAS CALHEIROS;1323-237
4819182;PEDRO TINOCO PINTO AMADO PROENCA RAMALHO;6956-110
4819323;BASILIO DOMINGOS FONSECA CARRASCO ALMEIDA;2400-890
4821932;MARIA ALMADA PINTO AMORIM QUADROS MORA;4884-555
4823755;DAVID MOREIRA NUNES CARNEIRO CLEMENTINO AGUIAR ANDRADE;18498-144
4824948;DUARTE REAL ALMADA ANTUNES SANTOS AZENHA;3301-77
4825372;MARIA MORENO SEQUEIRA ESTRELA LOBATO REGO MARTINS;5899-892
4827856;CARINA NASCIMENTO CALHEIROS AROUCA LEÃO BARROS;7284-495
4828928;DAVID REGO DIAS AMORA CUNHA;5944-270
4829064;DOLORES AROUCA REGO EANES;16402-689
4829509;DANIEL MORA FERRO MOURA CARRICO ESTRELA REGO;12157-324
4834171;VALDEMAR REGUEIRA PACHECO BARBOSA LOBATO;1740-32
4834417;DULCE AMORIM CANECO MATOS BAPTISTA AZEREDO VIVAS;10323-820
4836919;DORA NOGUEIRA COELHO SILVA ALMEIDA LEAL BRITO;3548-576
4838388;RITA CANECO LEAL PERES AMORIM;16203-296
4839216;BASILIO SEIXAS BARBOSA PERES SILVA;15121-541
4839952;MARISA MOURA ROSADO MATOS FONSECA;2206-118
4843007;CELSO SOEIRO BARBOSA FERRAZ;15547-988
4843581;CRISTIANA SOEIRO VALBOM AMORIM;10575-219
4845853;MARISA CARRICO ANTUNES SILVA NASCIMENTO ANDRADE BELCHIOR;8430-383
4848731;CELINO CLEMENTINO DOMINGOS PIRES FARIAS;14375-294
4849454;SORAIA PERES CASTANHEIRA REGO TINOCO BRITO;3006-381
4849649;PAULA LEÃO MOURA CABRAL DINIS PIRES;7355-380
4851374;CRISTIANA CARMONA DIAS LEÃO RAMALHO ANDRADE;5021-779
4854388;EDUARDO ESTRELA PAREDES ANDRADE ALMADA FONSECA QUADROS;2712-202
4855624;JOANA BRITO MENDES REGUEIRA FERREIRA PERES;13180-685
4856260;ALZINDA MARTINS FONSECA BOGAS CARRICO;9350-648
4856500;SORAIA VALBOM COELHO CASTRO;5056-190
4856604;CLOTILDE CAIADO PROENCA ANDRADE FARIAS;2561-309
4857798;LUIS PINHEIRO ROSADO AROUCA ANTUNES;16701-557
4858808;CELSO EANES MORA MOTA;18570-288
4862790;DUARTE FERREIRA CARMONA MORA ALMADA CALHEIROS SILVA;2042-704
4863270;JOANA PACHECO REGO MORA CASTRO NASCIMENTO CUNHA;7344-585
4864643;ALZINDA EANES MORA PERES PERES;19111-15
4865664;ANA BAPTISTA ANDRADE ALMADA;1933-268
4865876;CLOTILDE ROCHA CARVALHEIRA BELCHIOR;2845-675
4866280;CLARICE AROUCA DIAS ROSADO BARBOSA CALHEIROS;13069-73
4867047;ANA NASCIMENTO AZEREDO MENDES REGUEIRA NUNES;11922-349
4868229;PAULA ALMEIDA QUEIROS MOURA;11013-362
4868783;LUIS NASCIMENTO AROUCA FERRAZ;7076-747
4869227;RODOLFO MOURÃO SEIXAS MOURA;16486-757
4870498;FRANCISCA CLEMENTINO MOURA DIAS CABRAL ROCHA;7821-550
4870966;LILIANA PINTO CASTANHEIRA BOGAS LEÃO;12139-946
4872481;BÓRIS ROCHA CARMONA LOBATO PINHEIRO ALMEIDA REGO;11159-93
4873618;CELINO ROCHA SANTOS AMORIM;4757-458
4874665;CARINA MATEUS AZENHA LOBATO COELHO;17316-34
4875241;CATARINA PACHECO CASTANHEIRA AZEVEDO;12584-322
4877004;PAULO MORENO PINTO SANTOS AZEREDO AMORIM ANDRADE;16541-70
4878417;DINA CASTRO AMORIM ALMADA CASTRO SEQUEIRA;17984-208
4879772;CELSO SILVA ROSADO MOTA;18012-240
4881452;CARMO LOPES ROCHA DOMINGOS;9752-483
4881798;VITOR DOMINGOS REGUEIRA PACHECO CARREIRA CASTANHEIRA;1020-664
4882109;CLAUDIO AMORIM FERREIRA QUEIROS AZENHA;16785-264
4882540;CELSO CALHEIROS CUNHA LEAL BRITO;10591-718
4886408;DORA PINTO NOGUEIRA SILVA MOTA REGO;18475-718
4886727;VITOR AMORIM PINHEIRO CARRASCO REAL CARRASCO;2847-95
4890444;PEDRO NASCIMENTO TINOCO FERRO DINIS;11838-811
4890467;PEDRO CALHEIROS AZENHA ANDRADE CARVALHEIRA FERRAZ MACEDO;19248-205
4892110;CATARINA ESTRELA CANECO DOMINGOS CASTRO MACEDO;1680-533
4892344;CARLOTA ALMEIDA ANTUNES FARIAS;9246-801
4896062;FRANCISCO SEQUEIRA LOPES FARIAS;10862-227
4896940;DORA MORENO CARMONA SEIXAS BARBOSA;12823-78
4897279;ANA ROSADO DOMINGOS FERREIRA LEÃO BAPTISTA VIVAS;7671-594
4897860;LUCAS NASCIMENTO ROSADO NOGUEIRA CASTRO;18203-562
4899089;PEDRO AMORIM AROUCA AMORA MACEDO CARDOSO;9979-649
4899195;JOANA SANTOS MOURÃO MOURÃO;7311-400
4900034;LUIS BOGAS SANTOS AMORIM ANDRADE FERREIRA ROSADO;12264-259
4907493;RICARDO NOGUEIRA MATEUS ARANTES;4272-487
4908461;CELSO ROCHA CUNHA REGO;2756-212
4909323;RITA CABRAL EANES SEQUEIRA;18640-582
4910163;PAULO BARBOSA DOMINGOS DIAS ALMADA ALMEIDA SEQUEIRA;15665-111
4913259;FRANCISCO MENDES ROSADO SEQUEIRA;6026-251
4914869;RITA AROUCA MOTA AMORIM AZEVEDO REAL;9929-318
4917418;CRISTINA FERRO DOMINGOS AZEVEDO REAL;11558-95
4918292;VALDEMAR AZENHA EANES MORENO AMORA MATEUS;9859-336
4918332;CELSO ROSADO FERRO AZEREDO QUEIROS;19150-888
4920399;LEONOR DOMINGOS NASCIMENTO CARNEIRO ALMEIDA NASCIMENTO;9509-739
4920635;EDUARDO ALMEIDA REGO MOURÃO;9318-416
4926766;CLAUDIO REAL MORA PACHECO FERRAZ AMADO;8618-95
4927533;LUIS PAREDES DIAS MORENO CIPRIANO;6719-794
4927942;DANIEL AZEREDO NOGUEIRA AZEVEDO;10232-986
4929017;MARIA AMADO AZENHA AMORIM;6507-539
4929499;DUARTE LEÃO MOURÃO SEQUEIRA MOURÃO;11757-866
4930244;CARINA BOGAS DIAS CABRAL;3632-792
4931462;BRUNA AMORA DOMINGOS REGO MOURA;4744-699
4932168;CELSO NUNES CARNEIRO BARBOSA BAPTISTA CASTRO PINHEIRO;14210-324
4934175;RITA CARNEIRO MENDES NUNES;13191-75
4935100;BÓRIS CIPRIANO CALHEIROS TINOCO;9178-117
4935351;DAVID REGO MACEDO SILVA AZEVEDO;7828-305
4935461;BASILIO CARREIRA MOURA ANTUNES ESTRELA;12634-26
4937365;ODETE CALADO ROSADO BOGAS;6015-814
4937638;PEDRO NASCIMENTO MOREIRA PINTO BAPTISTA COELHO SEIXAS;12620-339
4939410;CATARINA NOGUEIRA COELHO QUEIROS FONSECA COELHO;6516-367
4939509;RICARDO EANES MENDES BRITO CARMONA;1863-770
4939807;VALDEMAR SOEIRO QUEIROS MOURÃO;13758-339
4940201;CELSO PIRES QUADROS CARREIRA MORENO;15123-655
4940949;RODOLFO MACEDO EANES SOEIRO REGO VIVAS;1465-92
4942549;LILIANA SEQUEIRA PAREDES MATOS AMORIM CARRASCO;17813-187
4943863;CELINO FERRAZ AZEVEDO REAL BACELAR RAMALHO PIRES;18419-572
4951898;PAULO BAPTISTA ANTUNES CASTANHEIRA AZEREDO CARRICO;7401-503
4953006;CELSO CLEMENTINO ARANTES COELHO AMORA;7669-39
4954392;CELINA BRITO SILVA CARRICO;11490-959
4954824;VITOR FERRO FERRAZ AMORIM SOEIRO REAL MACEDO;2668-61
4955276;FRANCISCO CARNEIRO BELCHIOR ESTRELA;10627-947
4955610;BRUNO AMORIM FARIAS NASCIMENTO ROSADO;12190-157
4955878;VITOR ANTUNES PERES ANDRADE MATEUS AZENHA FERREIRA;8717-624
4957042;DOLORES VALBOM LOPES DINIS SOEIRO ARANTES;18389-447
4957434;BASILIO AMORIM REAL PIRES CARRICO PERES;18515-861
4958267;EDUARDA LEAL LOBATO DIAS CANECO;11693-906
4958473;CRISTIANA REGO TINOCO PROENCA NASCIMENTO CASTRO BRITO;2287-329
4959424;DANIEL BOGAS CARNEIRO MOURA RAMALHO PACHECO FONSECA;19630-60
4968447;ODETE LEAL NUNES BARBOSA;3365-256
4969404;LUIS REGUEIRA PINHEIRO NUNES CAIADO ANDRADE;10116-70
4970815;CLARICE BARROS TINOCO CARREIRA;15444-565
4971012;CARMO CARVALHEIRA CIPRIANO EANES MATOS BARROS AZEREDO;1365-798
4972977;CARLA AMADO QUADROS SOEIRO;10448-118
4975842;ODETE FERRO PACHECO AMADO;19781-883
4977594;FRANCISCA ANDRADE ARANTES ALMEIDA CARVALHEIRA;9111-922
4978126;DAVID LOBATO AMORIM DINIS ANDRADE CABRAL ALMEIDA;17822-107
4979289;VALDEMAR BELCHIOR PROENCA CUNHA;8862-896
4981536;BASILIO CALADO AZEVEDO NASCIMENTO BRITO;5866-440
4983864;CLOTILDE CABRAL DIAS CAIADO CIPRIANO ALMEIDA;18680-992
4986624;DULCE CASTANHEIRA FERREIRA CANECO BARBOSA CALHEIROS CLEMENTINO;16644-554
4986737;EDUARDA BARBOSA NASCIMENTO FERREIRA ESTRELA FONSECA AZENHA;15751-102
4988646;BRUNA REGO AMORIM FERREIRA;11752-590
4990828;RICARDO REGO CIPRIANO CALHEIROS ESTRELA;12966-951
4993238;EDUARDO ESTRELA AMADO SANTOS AMORIM;1470-606
4993673;LILIANA CAIADO FARIAS MATOS SEQUEIRA NASCIMENTO REAL;12202-591
4996719;LUIS BELCHIOR BRITO AMORIM REGUEIRA MOTA BARROS;19533-509
4997045;HUGO CUNHA SOEIRO DIAS PINHEIRO;10456-891
4999297;EDUARDO BARROS MATEUS MARTINS CASTANHEIRA ROSADO REGO;6704-6
5000005;BASILIO ALMADA MENDES FERRO;5008-978
5002256;RODOLFO BOGAS CIPRIANO NOGUEIRA ANDRADE;4774-401
5002431;CATARINA SILVA MOURA FERRAZ DOMINGOS FERREIRA VALBOM;7846-235
5002578;EDUARDA SOEIRO CARRASCO MARTINS ANDRADE PIRES PINTO;8939-451
5004087;DAVID ANDRADE LOBATO ANTUNES;19348-516
5004553;CLOTILDE MOURÃO BRITO FERREIRA LEÃO DIAS;5024-947
5007039;MARIA SOEIRO BARBOSA CABRAL;14968-432
5009501;CLOTILDE CASTANHEIRA FERREIRA NUNES;17529-873
5010160;VITOR MOURA CARRASCO RAMALHO;16822-508
5010649;LEONOR ALMADA AZEREDO BELCHIOR SILVA MOTA;6539-754
5011353;RITA ARANTES MATOS CALHEIROS BARROS;1551-195
5015978;BÓRIS SILVA SILVA AMORIM SANTOS ANDRADE;1982-388
5019858;SILVIA TINOCO CANECO PERES;3037-193
5021180;EDUARDA CALADO FERRO CARVALHEIRA PACHECO AMORA;1069-669
5021911;HUGO ROSADO VIVAS LOPES;3418-899
5022017;PEDRO VALBOM FERREIRA BARROS ROSADO MORENO;11065-73
5024441;FRANCISCO VIVAS CARDOSO DIAS;4843-299
5034033;ANA CARNEIRO LEÃO VALBOM MARTINS BRITO RAMALHO;19065-475
5035107;CATARINA CABRAL AZENHA ANDRADE QUEIROS;13414-107
5035729;PEDRO PROENCA SOEIRO SOEIRO NOGUEIRA FARIAS;13539-56
5037206;CRISTIANO FERREIRA CARVALHEIRA MENDES FONSECA;8755-388
5042764;CRISTINA PAREDES CARRICO PAREDES NUNES CANECO DINIS;15814-475
5044423;ANA MOREIRA MOREIRA AMORIM CASTRO CLEMENTINO AROUCA;18451-504
5045627;DINA SOEIRO AGUIAR PIRES CLEMENTINO AMADO CLEMENTINO;2128-903
5046683;DORA MOURÃO CIPRIANO NOGUEIRA VIVAS MARTINS;16572-280
5050647;CRISTIANO CANECO AZEVEDO PAREDES AMORIM;2464-451
5050756;LEONOR BAPTISTA PERES LEÃO FERRO LEÃO;4437-696
5051957;BRUNA CARVALHEIRA NASCIMENTO REGO;14474-970
5053250;LEONOR DIAS REGO REAL ANDRADE FERRO;8255-223
5054542;CLARICE AMORIM CARNEIRO CLEMENTINO CALADO DIAS;13818-188
5054884;CLARICE CASTANHEIRA AROUCA CIPRIANO AGUIAR;4684-327
5057289;CLAUDIO AMADO CIPRIANO CARRICO MATEUS CARVALHEIRA AMADO;9238-644
5057953;FRANCISCA AGUIAR EANES CARMONA;12782-908
5061701;CRISTINA VIVAS VIVAS COELHO FONSECA BACELAR ANTUNES;5742-252
5062450;BRUNO CARRICO PROENCA AZEREDO;15918-794
5062911;RODOLFO CLEMENTINO CANECO CARRASCO BOGAS SEQUEIRA MORA;15400-6
5063183;FRANCISCO AGUIAR PACHECO BRITO;10389-821
5064259;PAULO PACHECO CASTANHEIRA BARROS PERES BARROS QUADROS;14820-808
5064585;DAVID CARREIRA RAMALHO BARBOSA SEIXAS;1007-451
5065455;DULCINEIA PINTO ANTUNES ESTRELA ANDRADE;2389-137
5067579;MARISA DOMINGOS ROCHA AMORIM;15321-796
5070155;DAVID LEÃO TINOCO BOGAS CARRICO;5705-575
5070749;LUIS SEIXAS BRITO ALMEIDA;4114-836
5070864;MARIA FERRO AROUCA CANECO;18352-420
5071638;ANA BELCHIOR AMORIM BELCHIOR AGUIAR;2490-780
5072162;ALZINDA AROUCA CIPRIANO LEÃO MORENO SILVA CARVALHEIRA;2752-239
5072176;SORAIA PACHECO CLEMENTINO BACELAR BACELAR CIPRIANO;2767-962
5072528;LUCAS ROCHA ALMEIDA BAPTISTA CARREIRA BARROS;17182-441
5072823;CELINA AMORIM ANTUNES REAL VALBOM AMORIM SANTOS;9192-734
5072900;BRUNO CALADO CLEMENTINO SILVA CARRICO RAMALHO AMORIM;12985-335
5073090;CAMILO PIRES EANES MOURA AMORA SOEIRO;7896-640
5073980;BÓRIS CUNHA DOMINGOS CARMONA MATOS ANDRADE DINIS;17845-165
5074192;FRANCISCO CARRICO CARMONA REGUEIRA NASCIMENTO SOEIRO;17505-724
5076665;DOLORES VALBOM CALHEIROS MORA MATOS ARANTES COELHO;13670-957
5076986;RITA ANTUNES NASCIMENTO LEAL REGUEIRA ALMEIDA MORA;17077-935
5077175;LUIS SILVA ANDRADE MACEDO CARDOSO MOURA;18696-627
5078244;LEONOR REGO LEAL FERRO SOEIRO MARTINS;10517-777
5079296;FRANCISCO SEQUEIRA PERES SANTOS MENDES PACHECO;6381-106
5079956;DULCINEIA FERRO NOGUEIRA CARRICO;16185-732
5082758;CRISTIANA NOGUEIRA ROCHA VIVAS ANTUNES;3510-6
5084213;SORAIA CARDOSO CABRAL ANDRADE VIVAS CARNEIRO MARTINS;1168-506
5084718;ANA QUEIROS MOTA BRITO;19650-214
5085003;HUGO EANES PINTO BOGAS PIRES SILVA;2237-379
5085738;DORA MOURA MATOS SANTOS BRITO PACHECO;8567-379
5086270;DINA CARDOSO DOMINGOS SEQUEIRA SEQUEIRA CARREIRA BAPTISTA;5916-42
5088755;PAULA MATEUS PIRES AROUCA MOURÃO;6302-92
5089801;DULCINEIA FARIAS CANECO FONSECA MATEUS;5611-914
5090105;BRUNO AROUCA CUNHA MORENO BOGAS MOTA CASTANHEIRA;12875-41
5090217;RODOLFO AMADO CUNHA CARNEIRO;7573-119
5092795;FRANCISCA AGUIAR MARTINS FONSECA LEAL AMORA COELHO;7134-558
5094366;DANIEL MACEDO AZEVEDO CARMONA MENDES MORA;5751-557
5094557;EDUARDA REGUEIRA AMORIM DINIS CARNEIRO;3155-87
5094909;CATARINA DOMINGOS CARRASCO PAREDES REGO CAIADO MENDES;19036-657
5095711;FRANCISCO NUNES MENDES PROENCA BARROS;12290-533
5097746;VITOR MACEDO MOTA MOREIRA CARMONA CARRICO;13223-894
5099469;ODETE MOREIRA PAREDES DINIS;2926-270
5101044;RICARDO PINHEIRO NOGUEIRA ESTRELA;14988-476
5102232;RODOLFO FONSECA PAREDES LEAL;3290-599
5103234;BASILIO TINOCO VIVAS NUNES CASTANHEIRA;4166-644
5105037;RITA MORA SEQUEIRA RAMALHO MOTA MOURA DOMINGOS;15924-375
5106940;BRUNO MOURÃO CUNHA CARREIRA BRITO NOGUEIRA;1591-83
5109331;EDUARDA CIPRIANO LOBATO CARMONA SANTOS LOPES;17292-676
5112074;SILVIA QUEIROS MOURÃO PINTO VALBOM EANES;6549-482
5116356;EDUARDO CARREIRA AZEVEDO AMORA CIPRIANO PROENCA;6336-83
5118317;DANIEL REGO CALHEIROS QUADROS;4782-344
5119771;CAMILO BARBOSA CARVALHEIRA ALMEIDA CABRAL CARVALHEIRA;13605-918
5120970;CLARICE MOURA MORA LOPES BRITO MORENO;12926-217
5122531;CRISTINA CARRICO MOTA ARANTES AZEVEDO BRITO CARVALHEIRA;13228-796
5123577;BRUNA CIPRIANO MOURA ANDRADE FARIAS;5061-695
5123890;BASILIO MORA ROSADO CASTANHEIRA PROENCA RAMALHO FARIAS;9182-20
5124386;RITA MOTA AMORIM DINIS BACELAR MOTA;12268-173
5124450;VITOR REGUEIRA CARNEIRO PERES BAPTISTA CALHEIROS MOURÃO;6794-281
5124662;CLOTILDE CALHEIROS SOEIRO MOURÃO MATEUS;5027-464
5125343;LILIANA SANTOS AROUCA SILVA AZEVEDO PAREDES VIVAS;16361-871
5127033;ALZINDA CARMONA PACHECO BAPTISTA;15035-163
5127123;CATARINA SEQUEIRA CASTRO CASTANHEIRA REGUEIRA MORA;5753-174
5127184;MARIA ROSADO CASTRO FERRO VALBOM;7216-842
5129221;CRISTIANA REGUEIRA ALMEIDA NASCIMENTO;16003-504
5129233;CARMO MORA SOEIRO CUNHA LOPES;19795-362
5130786;LILIANA SEQUEIRA BARROS BRITO CABRAL MATOS CLEMENTINO;3516-869
5133098;LILIANA CAIADO ALMADA ARANTES FERRAZ FERREIRA CARDOSO;1331-559
5134663;BASILIO CAIADO AZEVEDO BRITO FARIAS CASTRO COELHO;2744-280
5135159;CARINA SOEIRO ALMEIDA AMADO TINOCO;19288-159
5135371;ALZINDA SOEIRO PAREDES DOMINGOS;19721-138
